Zweigstelle;Zweigstellenname;schliesstag;Anlass;Beschreibung;Typ
WO;Waldhäuser-Ost;09.08.2019;Sommerferien;;Einmalig
D;Derendingen;12.08.2019;Sommerferien;;Einmalig
MZU;Medienzentrum;12.08.2019;MZU Sommerferien;;Einmalig
WO;Waldhäuser-Ost;12.08.2019;Sommerferien;;Einmalig
D;Derendingen;13.08.2019;Sommerferien;;Einmalig
MZU;Medienzentrum;13.08.2019;MZU Sommerferien;;Einmalig
WO;Waldhäuser-Ost;13.08.2019;Sommerferien;;Einmalig
D;Derendingen;14.08.2019;Sommerferien;;Einmalig
MZU;Medienzentrum;14.08.2019;MZU Sommerferien;;Einmalig
WO;Waldhäuser-Ost;14.08.2019;Sommerferien;;Einmalig
D;Derendingen;15.08.2019;Sommerferien;;Einmalig
MZU;Medienzentrum;15.08.2019;MZU Sommerferien;;Einmalig
WO;Waldhäuser-Ost;15.08.2019;Sommerferien;;Einmalig
D;Derendingen;16.08.2019;Sommerferien;;Einmalig
MZU;Medienzentrum;16.08.2019;MZU Sommerferien;;Einmalig
WO;Waldhäuser-Ost;16.08.2019;Sommerferien;;Einmalig
D;Derendingen;19.08.2019;Sommerferien;;Einmalig
MZU;Medienzentrum;19.08.2019;MZU Sommerferien;;Einmalig
WO;Waldhäuser-Ost;19.08.2019;Sommerferien;;Einmalig
D;Derendingen;20.08.2019;Sommerferien;;Einmalig
MZU;Medienzentrum;20.08.2019;MZU Sommerferien;;Einmalig
WO;Waldhäuser-Ost;20.08.2019;Sommerferien;;Einmalig
D;Derendingen;21.08.2019;Sommerferien;;Einmalig
MZU;Medienzentrum;21.08.2019;MZU Sommerferien;;Einmalig
WO;Waldhäuser-Ost;21.08.2019;Sommerferien;;Einmalig
D;Derendingen;22.08.2019;Sommerferien;;Einmalig
MZU;Medienzentrum;22.08.2019;MZU Sommerferien;;Einmalig
WO;Waldhäuser-Ost;22.08.2019;Sommerferien;;Einmalig
D;Derendingen;23.08.2019;Sommerferien;;Einmalig
MZU;Medienzentrum;23.08.2019;MZU Sommerferien;;Einmalig
WO;Waldhäuser-Ost;23.08.2019;Sommerferien;;Einmalig
D;Derendingen;26.08.2019;Sommerferien;;Einmalig
MZU;Medienzentrum;26.08.2019;MZU Sommerferien;;Einmalig
WO;Waldhäuser-Ost;26.08.2019;Sommerferien;;Einmalig
D;Derendingen;27.08.2019;Sommerferien;;Einmalig
MZU;Medienzentrum;27.08.2019;MZU Sommerferien;;Einmalig
WO;Waldhäuser-Ost;27.08.2019;Sommerferien;;Einmalig
D;Derendingen;28.08.2019;Sommerferien;;Einmalig
MZU;Medienzentrum;28.08.2019;MZU Sommerferien;;Einmalig
WO;Waldhäuser-Ost;28.08.2019;Sommerferien;;Einmalig
D;Derendingen;29.08.2019;Sommerferien;;Einmalig
MZU;Medienzentrum;29.08.2019;MZU Sommerferien;;Einmalig
WO;Waldhäuser-Ost;29.08.2019;Sommerferien;;Einmalig
D;Derendingen;30.08.2019;Sommerferien;;Einmalig
MZU;Medienzentrum;30.08.2019;MZU Sommerferien;;Einmalig
WO;Waldhäuser-Ost;30.08.2019;Sommerferien;;Einmalig
D;Derendingen;02.09.2019;Sommerferien;;Einmalig
MZU;Medienzentrum;02.09.2019;MZU Sommerferien;;Einmalig
WO;Waldhäuser-Ost;02.09.2019;Sommerferien;;Einmalig
D;Derendingen;03.09.2019;Sommerferien;;Einmalig
MZU;Medienzentrum;03.09.2019;MZU Sommerferien;;Einmalig
WO;Waldhäuser-Ost;03.09.2019;Sommerferien;;Einmalig
D;Derendingen;04.09.2019;Sommerferien;;Einmalig
MZU;Medienzentrum;04.09.2019;MZU Sommerferien;;Einmalig
WO;Waldhäuser-Ost;04.09.2019;Sommerferien;;Einmalig
D;Derendingen;05.09.2019;Sommerferien;;Einmalig
MZU;Medienzentrum;05.09.2019;MZU Sommerferien;;Einmalig
WO;Waldhäuser-Ost;05.09.2019;Sommerferien;;Einmalig
D;Derendingen;06.09.2019;Sommerferien;;Einmalig
MZU;Medienzentrum;06.09.2019;MZU Sommerferien;;Einmalig
WO;Waldhäuser-Ost;06.09.2019;Sommerferien;;Einmalig
D;Derendingen;09.09.2019;Sommerferien;;Einmalig
MZU;Medienzentrum;09.09.2019;MZU Sommerferien;;Einmalig
WO;Waldhäuser-Ost;09.09.2019;Sommerferien;;Einmalig
D;Derendingen;10.09.2019;Sommerferien;;Einmalig
MZU;Medienzentrum;10.09.2019;MZU Sommerferien;;Einmalig
WO;Waldhäuser-Ost;10.09.2019;Sommerferien;;Einmalig
MZU;Medienzentrum;04.10.2019;beweglicher Ferientag;;Einmalig
WO;Waldhäuser-Ost;04.10.2019;Beweglicher Ferientag;;Einmalig
D;Derendingen;28.10.2019;Herbstferien;;Einmalig
MZU;Medienzentrum;28.10.2019;MZU Schulferien;;Einmalig
WO;Waldhäuser-Ost;28.10.2019;Herbstferien;;Einmalig
D;Derendingen;29.10.2019;Herbstferien;;Einmalig
MZU;Medienzentrum;29.10.2019;MZU Schulferien;;Einmalig
WO;Waldhäuser-Ost;29.10.2019;Herbstferien;;Einmalig
D;Derendingen;30.10.2019;Herbstferien;;Einmalig
MZU;Medienzentrum;30.10.2019;MZU Schulferien;;Einmalig
WO;Waldhäuser-Ost;30.10.2019;Herbstferien;;Einmalig
D;Derendingen;31.10.2019;Herbstferien;;Einmalig
MZU;Medienzentrum;31.10.2019;MZU Schulferien;;Einmalig
WO;Waldhäuser-Ost;31.10.2019;Herbstferien;;Einmalig
D;Derendingen;08.11.2019;;;Einmalig
HST;Hauptstelle Tübingen;08.11.2019;Einmaliger Schließtag;;Einmalig
MZU;Medienzentrum;08.11.2019;Einmaliger Schließtag;;Einmalig
WO;Waldhäuser-Ost;08.11.2019;Einmaliger Schließtag;;Einmalig
D;Derendingen;04.12.2019;Personalversammlung;;Einmalig
eBib;Onleihe Neckar-Alb;04.12.2019;Personalversammlung;;Einmalig
Hi;Hirschau;04.12.2019;Personalversammlung;;Einmalig
HST;Hauptstelle Tübingen;04.12.2019;Personalversammlung;;Einmalig
MZU;Medienzentrum;04.12.2019;Personalversammlung;;Einmalig
WO;Waldhäuser-Ost;04.12.2019;Personalversammlung;;Einmalig
D;Derendingen;20.12.2019;Winterferien;;Einmalig
HST;Hauptstelle Tübingen;20.12.2019;;;Einmalig
MZU;Medienzentrum;20.12.2019;MZU Schulferien;;Einmalig
WO;Waldhäuser-Ost;20.12.2019;Beweglicher Ferientag;;Einmalig
HST;Hauptstelle Tübingen;21.12.2019;;;Einmalig
D;Derendingen;23.12.2019;Winterferien;;Einmalig
MZU;Medienzentrum;23.12.2019;MZU Schulferien;;Einmalig
WO;Waldhäuser-Ost;23.12.2019;Weihnachtsferien;;Einmalig
D;Derendingen;27.12.2019;Winterferien;;Einmalig
Hi;Hirschau;27.12.2019;Weihnachtsschließzeit;;Einmalig
HST;Hauptstelle Tübingen;27.12.2019;Weihnachtsschließzeit;;Einmalig
MZU;Medienzentrum;27.12.2019;MZU Schulferien;;Einmalig
WO;Waldhäuser-Ost;27.12.2019;Weihnachtsferien;;Einmalig
Hi;Hirschau;28.12.2019;Weihnachtsschließzeit;;Einmalig
HST;Hauptstelle Tübingen;28.12.2019;Weihnachtsschließzeit;;Einmalig
D;Derendingen;30.12.2019;Winterferien;;Einmalig
Hi;Hirschau;30.12.2019;Weihnachtsschließzeit;;Einmalig
MZU;Medienzentrum;30.12.2019;MZU Schulferien;;Einmalig
WO;Waldhäuser-Ost;30.12.2019;Weihnachtsferien;;Einmalig
D;Derendingen;31.12.2019;Winterferien;;Einmalig
Hi;Hirschau;31.12.2019;Weihnachtsschließzeit;;Einmalig
HST;Hauptstelle Tübingen;31.12.2019;Weihnachtsschließzeit;;Einmalig
MZU;Medienzentrum;31.12.2019;MZU Schulferien;;Einmalig
WO;Waldhäuser-Ost;31.12.2019;Weihnachtsferien;;Einmalig
D;Derendingen;02.01.2020;Winterferien;;Einmalig
Hi;Hirschau;02.01.2020;Weihnachtsschließzeit;;Einmalig
HST;Hauptstelle Tübingen;02.01.2020;Weihnachtsschließzeit;;Einmalig
MZU;Medienzentrum;02.01.2020;MZU Schulferien;;Einmalig
WO;Waldhäuser-Ost;02.01.2020;Weihnachtsschließzeit;;Einmalig
D;Derendingen;03.01.2020;Winterferien;;Einmalig
Hi;Hirschau;03.01.2020;Weihnachtsschließzeit;;Einmalig
HST;Hauptstelle Tübingen;03.01.2020;Weihnachtsschließzeit;;Einmalig
MZU;Medienzentrum;03.01.2020;MZU Schulferien;;Einmalig
WO;Waldhäuser-Ost;03.01.2020;Weihnachtsschließzeit;;Einmalig
Hi;Hirschau;04.01.2020;Weihnachtsschließzeit;;Einmalig
HST;Hauptstelle Tübingen;04.01.2020;Weihnachtsschließzeit;;Einmalig
D;Derendingen;07.01.2020;;;Einmalig
Hi;Hirschau;07.01.2020;;;Einmalig
HST;Hauptstelle Tübingen;07.01.2020;;;Einmalig
MZU;Medienzentrum;07.01.2020;;;Einmalig
WO;Waldhäuser-Ost;07.01.2020;;;Einmalig
D;Derendingen;08.01.2020;;;Einmalig
Hi;Hirschau;08.01.2020;;;Einmalig
HST;Hauptstelle Tübingen;08.01.2020;;;Einmalig
MZU;Medienzentrum;08.01.2020;;;Einmalig
WO;Waldhäuser-Ost;08.01.2020;;;Einmalig
D;Derendingen;09.01.2020;;;Einmalig
Hi;Hirschau;09.01.2020;;;Einmalig
HST;Hauptstelle Tübingen;09.01.2020;;;Einmalig
MZU;Medienzentrum;09.01.2020;;;Einmalig
WO;Waldhäuser-Ost;09.01.2020;;;Einmalig
D;Derendingen;10.01.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;10.01.2020;;;Einmalig
Hi;Hirschau;10.01.2020;;;Einmalig
HST;Hauptstelle Tübingen;10.01.2020;;;Einmalig
MZU;Medienzentrum;10.01.2020;;;Einmalig
WO;Waldhäuser-Ost;10.01.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;11.01.2020;;;Einmalig
Hi;Hirschau;11.01.2020;;;Einmalig
HST;Hauptstelle Tübingen;11.01.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;12.01.2020;;;Einmalig
D;Derendingen;13.01.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;13.01.2020;;;Einmalig
Hi;Hirschau;13.01.2020;;;Einmalig
MZU;Medienzentrum;13.01.2020;;;Einmalig
WO;Waldhäuser-Ost;13.01.2020;;;Einmalig
D;Derendingen;24.02.2020;beweglicher Ferientag;;Einmalig
MZU;Medienzentrum;24.02.2020;beweglicher Ferientag;;Einmalig
WO;Waldhäuser-Ost;24.02.2020;beweglicher Ferientag;;Einmalig
D;Derendingen;25.02.2020;beweglicher Ferientag;;Einmalig
MZU;Medienzentrum;25.02.2020;beweglicher Ferientag;;Einmalig
WO;Waldhäuser-Ost;25.02.2020;beweglicher Ferientag;;Einmalig
D;Derendingen;26.02.2020;beweglicher Ferientag;;Einmalig
MZU;Medienzentrum;26.02.2020;beweglicher Ferientag;;Einmalig
WO;Waldhäuser-Ost;26.02.2020;beweglicher Ferientag;;Einmalig
D;Derendingen;27.02.2020;beweglicher Ferientag;;Einmalig
MZU;Medienzentrum;27.02.2020;beweglicher Ferientag;;Einmalig
WO;Waldhäuser-Ost;27.02.2020;beweglicher Ferientag;;Einmalig
D;Derendingen;28.02.2020;beweglicher Ferientag;;Einmalig
MZU;Medienzentrum;28.02.2020;beweglicher Ferientag;;Einmalig
WO;Waldhäuser-Ost;28.02.2020;beweglicher Ferientag;;Einmalig
D;Derendingen;17.03.2020;Sonderschließzeit Corona;;Einmalig
eBib;Onleihe Neckar-Alb;17.03.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;17.03.2020;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;17.03.2020;Sonderschließzeit Corona;;Einmalig
MZU;Medienzentrum;17.03.2020;Sonderschließzeit Corona;;Einmalig
WO;Waldhäuser-Ost;17.03.2020;Sonderschließzeit Corona;;Einmalig
D;Derendingen;18.03.2020;Sonderschließzeit Corona;;Einmalig
eBib;Onleihe Neckar-Alb;18.03.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;18.03.2020;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;18.03.2020;Sonderschließzeit Corona;;Einmalig
MZU;Medienzentrum;18.03.2020;Sonderschließzeit Corona;;Einmalig
WO;Waldhäuser-Ost;18.03.2020;Sonderschließzeit Corona;;Einmalig
D;Derendingen;19.03.2020;Sonderschließzeit Corona;;Einmalig
eBib;Onleihe Neckar-Alb;19.03.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;19.03.2020;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;19.03.2020;Sonderschließzeit Corona;;Einmalig
MZU;Medienzentrum;19.03.2020;Sonderschließzeit Corona;;Einmalig
WO;Waldhäuser-Ost;19.03.2020;Sonderschließzeit Corona;;Einmalig
D;Derendingen;20.03.2020;Sonderschließzeit Corona;;Einmalig
eBib;Onleihe Neckar-Alb;20.03.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;20.03.2020;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;20.03.2020;Sonderschließzeit Corona;;Einmalig
MZU;Medienzentrum;20.03.2020;Sonderschließzeit Corona;;Einmalig
WO;Waldhäuser-Ost;20.03.2020;Sonderschließzeit Corona;;Einmalig
eBib;Onleihe Neckar-Alb;21.03.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;21.03.2020;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;21.03.2020;Sonderschließzeit Corona;;Einmalig
eBib;Onleihe Neckar-Alb;22.03.2020;Sonderschließzeit Corona;;Einmalig
D;Derendingen;23.03.2020;Sonderschließzeit Corona;;Einmalig
eBib;Onleihe Neckar-Alb;23.03.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;23.03.2020;Sonderschließzeit Corona;;Einmalig
MZU;Medienzentrum;23.03.2020;Sonderschließzeit Corona;;Einmalig
WO;Waldhäuser-Ost;23.03.2020;Sonderschließzeit Corona;;Einmalig
D;Derendingen;24.03.2020;Sonderschließzeit Corona;;Einmalig
eBib;Onleihe Neckar-Alb;24.03.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;24.03.2020;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;24.03.2020;Sonderschließzeit Corona;;Einmalig
MZU;Medienzentrum;24.03.2020;Sonderschließzeit Corona;;Einmalig
WO;Waldhäuser-Ost;24.03.2020;Sonderschließzeit Corona;;Einmalig
D;Derendingen;25.03.2020;Sonderschließzeit Corona;;Einmalig
eBib;Onleihe Neckar-Alb;25.03.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;25.03.2020;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;25.03.2020;Sonderschließzeit Corona;;Einmalig
MZU;Medienzentrum;25.03.2020;Sonderschließzeit Corona;;Einmalig
WO;Waldhäuser-Ost;25.03.2020;Sonderschließzeit Corona;;Einmalig
D;Derendingen;26.03.2020;Sonderschließzeit Corona;;Einmalig
eBib;Onleihe Neckar-Alb;26.03.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;26.03.2020;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;26.03.2020;Sonderschließzeit Corona;;Einmalig
MZU;Medienzentrum;26.03.2020;Sonderschließzeit Corona;;Einmalig
WO;Waldhäuser-Ost;26.03.2020;Sonderschließzeit Corona;;Einmalig
D;Derendingen;27.03.2020;Sonderschließzeit Corona;;Einmalig
eBib;Onleihe Neckar-Alb;27.03.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;27.03.2020;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;27.03.2020;Sonderschließzeit Corona;;Einmalig
MZU;Medienzentrum;27.03.2020;Sonderschließzeit Corona;;Einmalig
WO;Waldhäuser-Ost;27.03.2020;Sonderschließzeit Corona;;Einmalig
eBib;Onleihe Neckar-Alb;28.03.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;28.03.2020;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;28.03.2020;Sonderschließzeit Corona;;Einmalig
eBib;Onleihe Neckar-Alb;29.03.2020;Sonderschließzeit Corona;;Einmalig
D;Derendingen;30.03.2020;Sonderschließzeit Corona;;Einmalig
eBib;Onleihe Neckar-Alb;30.03.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;30.03.2020;Sonderschließzeit Corona;;Einmalig
MZU;Medienzentrum;30.03.2020;Sonderschließzeit Corona;;Einmalig
WO;Waldhäuser-Ost;30.03.2020;Sonderschließzeit Corona;;Einmalig
D;Derendingen;31.03.2020;Sonderschließzeit Corona;;Einmalig
eBib;Onleihe Neckar-Alb;31.03.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;31.03.2020;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;31.03.2020;Sonderschließzeit Corona;;Einmalig
MZU;Medienzentrum;31.03.2020;Sonderschließzeit Corona;;Einmalig
WO;Waldhäuser-Ost;31.03.2020;Sonderschließzeit Corona;;Einmalig
D;Derendingen;01.04.2020;Sonderschließzeit Corona;;Einmalig
eBib;Onleihe Neckar-Alb;01.04.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;01.04.2020;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;01.04.2020;Sonderschließzeit Corona;;Einmalig
MZU;Medienzentrum;01.04.2020;Sonderschließzeit Corona;;Einmalig
WO;Waldhäuser-Ost;01.04.2020;Sonderschließzeit Corona;;Einmalig
D;Derendingen;02.04.2020;Sonderschließzeit Corona;;Einmalig
eBib;Onleihe Neckar-Alb;02.04.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;02.04.2020;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;02.04.2020;Sonderschließzeit Corona;;Einmalig
MZU;Medienzentrum;02.04.2020;Sonderschließzeit Corona;;Einmalig
WO;Waldhäuser-Ost;02.04.2020;Sonderschließzeit Corona;;Einmalig
D;Derendingen;03.04.2020;Sonderschließzeit Corona;;Einmalig
eBib;Onleihe Neckar-Alb;03.04.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;03.04.2020;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;03.04.2020;Sonderschließzeit Corona;;Einmalig
MZU;Medienzentrum;03.04.2020;Sonderschließzeit Corona;;Einmalig
WO;Waldhäuser-Ost;03.04.2020;Sonderschließzeit Corona;;Einmalig
eBib;Onleihe Neckar-Alb;04.04.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;04.04.2020;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;04.04.2020;Sonderschließzeit Corona;;Einmalig
eBib;Onleihe Neckar-Alb;05.04.2020;Sonderschließzeit Corona;;Einmalig
D;Derendingen;06.04.2020;Osterferien;;Einmalig
eBib;Onleihe Neckar-Alb;06.04.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;06.04.2020;Sonderschließzeit Corona;;Einmalig
MZU;Medienzentrum;06.04.2020;Osterferien;;Einmalig
WO;Waldhäuser-Ost;06.04.2020;Osterferien;;Einmalig
D;Derendingen;07.04.2020;Osterferien;;Einmalig
eBib;Onleihe Neckar-Alb;07.04.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;07.04.2020;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;07.04.2020;Sonderschließzeit Corona;;Einmalig
MZU;Medienzentrum;07.04.2020;Osterferien;;Einmalig
WO;Waldhäuser-Ost;07.04.2020;Osterferien;;Einmalig
D;Derendingen;08.04.2020;Osterferien;;Einmalig
eBib;Onleihe Neckar-Alb;08.04.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;08.04.2020;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;08.04.2020;Sonderschließzeit Corona;;Einmalig
MZU;Medienzentrum;08.04.2020;Osterferien;;Einmalig
WO;Waldhäuser-Ost;08.04.2020;Osterferien;;Einmalig
D;Derendingen;09.04.2020;Osterferien;;Einmalig
eBib;Onleihe Neckar-Alb;09.04.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;09.04.2020;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;09.04.2020;Sonderschließzeit Corona;;Einmalig
MZU;Medienzentrum;09.04.2020;Osterferien;;Einmalig
WO;Waldhäuser-Ost;09.04.2020;Osterferien;;Einmalig
D;Derendingen;10.04.2020;Osterferien;;Einmalig
eBib;Onleihe Neckar-Alb;10.04.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;10.04.2020;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;10.04.2020;Sonderschließzeit Corona;;Einmalig
MZU;Medienzentrum;10.04.2020;Osterferien;;Einmalig
WO;Waldhäuser-Ost;10.04.2020;Osterferien;;Einmalig
eBib;Onleihe Neckar-Alb;11.04.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;11.04.2020;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;11.04.2020;Sonderschließzeit Corona;;Einmalig
eBib;Onleihe Neckar-Alb;12.04.2020;Sonderschließzeit Corona;;Einmalig
D;Derendingen;13.04.2020;Osterferien;;Einmalig
eBib;Onleihe Neckar-Alb;13.04.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;13.04.2020;Sonderschließzeit Corona;;Einmalig
MZU;Medienzentrum;13.04.2020;Osterferien;;Einmalig
WO;Waldhäuser-Ost;13.04.2020;Osterferien;;Einmalig
D;Derendingen;14.04.2020;Osterferien;;Einmalig
eBib;Onleihe Neckar-Alb;14.04.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;14.04.2020;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;14.04.2020;Sonderschließzeit Corona;;Einmalig
MZU;Medienzentrum;14.04.2020;Osterferien;;Einmalig
WO;Waldhäuser-Ost;14.04.2020;Osterferien;;Einmalig
D;Derendingen;15.04.2020;Osterferien;;Einmalig
eBib;Onleihe Neckar-Alb;15.04.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;15.04.2020;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;15.04.2020;Sonderschließzeit Corona;;Einmalig
MZU;Medienzentrum;15.04.2020;Osterferien;;Einmalig
WO;Waldhäuser-Ost;15.04.2020;Osterferien;;Einmalig
D;Derendingen;16.04.2020;Osterferien;;Einmalig
eBib;Onleihe Neckar-Alb;16.04.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;16.04.2020;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;16.04.2020;Sonderschließzeit Corona;;Einmalig
MZU;Medienzentrum;16.04.2020;Osterferien;;Einmalig
WO;Waldhäuser-Ost;16.04.2020;Osterferien;;Einmalig
D;Derendingen;17.04.2020;Osterferien;;Einmalig
eBib;Onleihe Neckar-Alb;17.04.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;17.04.2020;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;17.04.2020;Sonderschließzeit Corona;;Einmalig
MZU;Medienzentrum;17.04.2020;Osterferien;;Einmalig
WO;Waldhäuser-Ost;17.04.2020;Osterferien;;Einmalig
eBib;Onleihe Neckar-Alb;18.04.2020;Sonderschließzeit Corona;;Einmalig
Hi;Hirschau;18.04.2020;Sonderschließzeit Corona;;Einmalig
HST;Hauptstelle Tübingen;18.04.2020;Sonderschließzeit Corona;;Einmalig
eBib;Onleihe Neckar-Alb;19.04.2020;Sonderschließzeit Corona;;Einmalig
D;Derendingen;20.04.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;20.04.2020;;;Einmalig
Hi;Hirschau;20.04.2020;;;Einmalig
MZU;Medienzentrum;20.04.2020;;;Einmalig
WO;Waldhäuser-Ost;20.04.2020;;;Einmalig
D;Derendingen;21.04.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;21.04.2020;;;Einmalig
Hi;Hirschau;21.04.2020;;;Einmalig
HST;Hauptstelle Tübingen;21.04.2020;;;Einmalig
MZU;Medienzentrum;21.04.2020;;;Einmalig
WO;Waldhäuser-Ost;21.04.2020;;;Einmalig
D;Derendingen;22.04.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;22.04.2020;;;Einmalig
Hi;Hirschau;22.04.2020;;;Einmalig
HST;Hauptstelle Tübingen;22.04.2020;;;Einmalig
MZU;Medienzentrum;22.04.2020;;;Einmalig
WO;Waldhäuser-Ost;22.04.2020;;;Einmalig
D;Derendingen;23.04.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;23.04.2020;;;Einmalig
Hi;Hirschau;23.04.2020;;;Einmalig
HST;Hauptstelle Tübingen;23.04.2020;;;Einmalig
MZU;Medienzentrum;23.04.2020;;;Einmalig
WO;Waldhäuser-Ost;23.04.2020;;;Einmalig
D;Derendingen;24.04.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;24.04.2020;;;Einmalig
Hi;Hirschau;24.04.2020;;;Einmalig
HST;Hauptstelle Tübingen;24.04.2020;;;Einmalig
MZU;Medienzentrum;24.04.2020;;;Einmalig
WO;Waldhäuser-Ost;24.04.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;25.04.2020;;;Einmalig
Hi;Hirschau;25.04.2020;;;Einmalig
HST;Hauptstelle Tübingen;25.04.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;26.04.2020;;;Einmalig
D;Derendingen;27.04.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;27.04.2020;;;Einmalig
Hi;Hirschau;27.04.2020;;;Einmalig
MZU;Medienzentrum;27.04.2020;;;Einmalig
WO;Waldhäuser-Ost;27.04.2020;;;Einmalig
D;Derendingen;28.04.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;28.04.2020;;;Einmalig
Hi;Hirschau;28.04.2020;;;Einmalig
HST;Hauptstelle Tübingen;28.04.2020;;;Einmalig
MZU;Medienzentrum;28.04.2020;;;Einmalig
WO;Waldhäuser-Ost;28.04.2020;;;Einmalig
D;Derendingen;29.04.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;29.04.2020;;;Einmalig
Hi;Hirschau;29.04.2020;;;Einmalig
HST;Hauptstelle Tübingen;29.04.2020;;;Einmalig
MZU;Medienzentrum;29.04.2020;;;Einmalig
WO;Waldhäuser-Ost;29.04.2020;;;Einmalig
D;Derendingen;30.04.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;30.04.2020;;;Einmalig
Hi;Hirschau;30.04.2020;;;Einmalig
HST;Hauptstelle Tübingen;30.04.2020;;;Einmalig
MZU;Medienzentrum;30.04.2020;;;Einmalig
WO;Waldhäuser-Ost;30.04.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;02.05.2020;;;Einmalig
Hi;Hirschau;02.05.2020;;;Einmalig
HST;Hauptstelle Tübingen;02.05.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;03.05.2020;;;Einmalig
D;Derendingen;04.05.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;04.05.2020;;;Einmalig
Hi;Hirschau;04.05.2020;;;Einmalig
MZU;Medienzentrum;04.05.2020;;;Einmalig
WO;Waldhäuser-Ost;04.05.2020;;;Einmalig
D;Derendingen;05.05.2020;;;Einmalig
eBib;Onleihe Neckar-Alb;05.05.2020;;;Einmalig
Hi;Hirschau;05.05.2020;;;Einmalig
